City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,talcahuano,-36.7167,-73.1167,24.82,50,0,8.23,CL,1674416081
64,lata,40.1629,-8.3327,3.93,72,7,1.98,PT,1674416082
65,katsuura,35.1333,140.3,6.66,85,100,6.53,JP,1674416082
66,ciudad bolivar,8.1222,-63.5497,29.81,51,94,5.71,VE,1674416083
67,bafq,31.6128,55.4107,3.51,52,1,1.73,IR,1674416083
68,potsdam,52.3989,13.0657,2.27,91,100,2.24,DE,1674415869
69,derzhavinsk,51.1,66.3167,-14.05,82,92,4.35,KZ,1674416084
70,vila velha,-20.3297,-40.2925,25.97,89,75,2.57,BR,1674416084
71,lorengau,-2.0226,147.2712,27.03,80,98,3.4,PG,1674416085
72,nanortalik,60.1432,-45.2371,-6.78,63,4,3.24,GL,1674416085
73,kapaa,22.0752,-159.319,23.6,93,75,1.54,US,1674416085
74,eregli,37.5133,34.0467,4.89,49,0,0.02,TR,1674416086
75,jurm,36.8648,70.8342,-6.86,89,100,0.68,AF,1674416086
76,provideniya,64.3833,-173.3,-25.05,88,34,6.42,RU,1674416087
77,arraial do cabo,-22.9661,-42.0278,29.98,61,0,5.14,BR,1674416053
78,rey bouba,8.6724,14.1786,25.82,19,71,1.44,CM,1674416087
79,coihaique,-45.5752,-72.0662,21.34,32,20,4.63,CL,1674416088
80,husavik,66.0449,-17.3389,-3.75,61,72,14.86,IS,1674416088
81,yellowknife,62.456,-114.3525,-14.71,85,75,3.6,CA,1674416049
82,nuuk,64.1835,-51.7216,-2.47,91,100,16.91,GL,1674416089
83,port macquarie,-31.4333,152.9167,17.72,94,74,1.38,AU,1674415938
84,ust-ishim,57.6935,71.1665,-5.47,94,100,3.61,RU,1674416090
85,olinda,-8.0089,-34.8553,28.85,65,40,3.6,BR,1674415730
86,hithadhoo,-0.6,73.0833,27.39,75,81,4.48,MV,1674415894
87,dalbandin,28.8947,64.4101,4.18,39,0,2.3,PK,1674416090
88,hamilton,39.1834,-84.5333,2.77,91,100,2.06,US,1674415588
89,mount gambier,-37.8333,140.7667,15.83,85,100,2.71,AU,1674416014
90,bathsheba,13.2167,-59.5167,28.34,69,40,10.29,BB,1674416092
91,pevek,69.7008,170.3133,-36.49,96,100,1.7,RU,1674416092
92,sisimiut,66.9395,-53.6735,-6.13,95,100,6.13,GL,1674416093
93,baykit,61.67,96.37,-33.91,99,100,1.44,RU,1674416093
94,nome,64.5011,-165.4064,-22.96,70,0,3.67,US,1674416094
